defined_class	defined_class_label	entity	entity_label	quality	quality_label
http://purl.obolibrary.org/obo/FBcv_0000355	eye color defective	http://purl.obolibrary.org/obo/FBbt_00004508		http://purl.obolibrary.org/obo/PATO_0000014	
http://purl.obolibrary.org/obo/FBcv_0000419	feeding behavior defective	http://purl.obolibrary.org/obo/GO_0007631		http://purl.obolibrary.org/obo/PATO_0000001	
http://purl.obolibrary.org/obo/FBcv_0000417	flight defective	http://purl.obolibrary.org/obo/GO_0060361		http://purl.obolibrary.org/obo/PATO_0000001	
http://purl.obolibrary.org/obo/FBcv_0000388	gravitaxis defective	http://purl.obolibrary.org/obo/GO_0048060		http://purl.obolibrary.org/obo/PATO_0000001	
http://purl.obolibrary.org/obo/FBcv_0000420	grooming behavior defective	http://purl.obolibrary.org/obo/GO_0007625		http://purl.obolibrary.org/obo/PATO_0000001	
http://purl.obolibrary.org/obo/FBcv_0000669	hatching behavior defective	http://purl.obolibrary.org/obo/GO_0035187		http://purl.obolibrary.org/obo/PATO_0000001	
http://purl.obolibrary.org/obo/FBcv_0000410	heat stress response defective	http://purl.obolibrary.org/obo/GO_0009408		http://purl.obolibrary.org/obo/PATO_0000001	
http://purl.obolibrary.org/obo/FBcv_0000392	hyperactive	http://purl.obolibrary.org/obo/GO_0050879		http://purl.obolibrary.org/obo/PATO_0000380	
http://purl.obolibrary.org/obo/FBcv_0000390	hypoactive	http://purl.obolibrary.org/obo/GO_0050879		http://purl.obolibrary.org/obo/PATO_0000381	
http://purl.obolibrary.org/obo/FBcv_0000448	immune response defective	http://purl.obolibrary.org/obo/GO_0006955		http://purl.obolibrary.org/obo/PATO_0000001	
http://purl.obolibrary.org/obo/FBcv_0000720	jump response defective	http://purl.obolibrary.org/obo/GO_0007630		http://purl.obolibrary.org/obo/PATO_0000001	
http://purl.obolibrary.org/obo/FBcv_0000397	learning defective	http://purl.obolibrary.org/obo/GO_0007612		http://purl.obolibrary.org/obo/PATO_0000001	
http://purl.obolibrary.org/obo/FBcv_0000414	locomotor behavior defective	http://purl.obolibrary.org/obo/GO_0007626		http://purl.obolibrary.org/obo/PATO_0000001	
http://purl.obolibrary.org/obo/FBcv_0000395	locomotor rhythm defective	http://purl.obolibrary.org/obo/GO_0045475		http://purl.obolibrary.org/obo/PATO_0000001	
http://purl.obolibrary.org/obo/FBcv_0000401	mating rhythm defective	http://purl.obolibrary.org/obo/GO_0035648		http://purl.obolibrary.org/obo/PATO_0000001	
http://purl.obolibrary.org/obo/FBcv_0000431	meiotic cell cycle defective	http://purl.obolibrary.org/obo/GO_0051321		http://purl.obolibrary.org/obo/PATO_0000001	
http://purl.obolibrary.org/obo/FBcv_0000398	memory defective	http://purl.obolibrary.org/obo/GO_0007613		http://purl.obolibrary.org/obo/PATO_0000001	
http://purl.obolibrary.org/obo/FBcv_0000432	mitotic cell cycle defective	http://purl.obolibrary.org/obo/GO_0000278		http://purl.obolibrary.org/obo/PATO_0000001	
http://purl.obolibrary.org/obo/FBcv_0000435	neuroanatomy defective	http://purl.obolibrary.org/obo/FBbt_00005093		http://purl.obolibrary.org/obo/PATO_0000001	
http://purl.obolibrary.org/obo/FBcv_0000412	optomotor response defective	http://purl.obolibrary.org/obo/GO_0007634		http://purl.obolibrary.org/obo/PATO_0000001	
http://purl.obolibrary.org/obo/FBcv_0000409	osmotic stress response defective	http://purl.obolibrary.org/obo/GO_0006970		http://purl.obolibrary.org/obo/PATO_0000001	
http://purl.obolibrary.org/obo/FBcv_0006004	oviposition defective	http://purl.obolibrary.org/obo/GO_0018991		http://purl.obolibrary.org/obo/PATO_0000001	
http://purl.obolibrary.org/obo/FBcv_0000725	oxidative stress response defective	http://purl.obolibrary.org/obo/GO_0006979		http://purl.obolibrary.org/obo/PATO_0000001	
http://purl.obolibrary.org/obo/FBcv_0000393	pain response defective	http://purl.obolibrary.org/obo/GO_0048265		http://purl.obolibrary.org/obo/PATO_0000001	
http://purl.obolibrary.org/obo/FBcv_0000422	photoperiod response variant	http://purl.obolibrary.org/obo/GO_0043153		http://purl.obolibrary.org/obo/PATO_0000001	
http://purl.obolibrary.org/obo/FBcv_0000413	phototaxis defective	http://purl.obolibrary.org/obo/GO_0042331		http://purl.obolibrary.org/obo/PATO_0000001	
http://purl.obolibrary.org/obo/FBcv_0000449	planar polarity defective	http://purl.obolibrary.org/obo/GO_0001736		http://purl.obolibrary.org/obo/PATO_0000001	
http://purl.obolibrary.org/obo/FBcv_0000680	proboscis extension reflex defective	http://purl.obolibrary.org/obo/GO_0007637		http://purl.obolibrary.org/obo/PATO_0000001	
http://purl.obolibrary.org/obo/FBcv_0000707	reproductive diapause defective	http://purl.obolibrary.org/obo/GO_0055116		http://purl.obolibrary.org/obo/PATO_0000001	
http://purl.obolibrary.org/obo/FBcv_0000681	sensory perception defective	http://purl.obolibrary.org/obo/GO_0007600		http://purl.obolibrary.org/obo/PATO_0000001	
http://purl.obolibrary.org/obo/FBcv_0000436	sex-determination defective	http://purl.obolibrary.org/obo/GO_0007530		http://purl.obolibrary.org/obo/PATO_0000001	
http://purl.obolibrary.org/obo/FBcv_0000357	size defective	http://purl.obolibrary.org/obo/FBbt_00007001		http://purl.obolibrary.org/obo/PATO_0000117	
http://purl.obolibrary.org/obo/FBcv_0000705	sleep defective	http://purl.obolibrary.org/obo/GO_0030431		http://purl.obolibrary.org/obo/PATO_0000001	
http://purl.obolibrary.org/obo/FBcv_0000358	small body	http://purl.obolibrary.org/obo/FBbt_00000001		http://purl.obolibrary.org/obo/PATO_0000587	
http://purl.obolibrary.org/obo/FBcv_0000404	smell perception defective	http://purl.obolibrary.org/obo/GO_0007608		http://purl.obolibrary.org/obo/PATO_0000001	
http://purl.obolibrary.org/obo/FBcv_0000402	song defective	http://purl.obolibrary.org/obo/GO_0045433		http://purl.obolibrary.org/obo/PATO_0000001	
http://purl.obolibrary.org/obo/FBcv_0000708	starvation stress response defective	http://purl.obolibrary.org/obo/GO_0042594		http://purl.obolibrary.org/obo/PATO_0000001	
http://purl.obolibrary.org/obo/FBcv_0000408	stress response defective	http://purl.obolibrary.org/obo/GO_0006950		http://purl.obolibrary.org/obo/PATO_0000001	
http://purl.obolibrary.org/obo/FBcv_0000405	taste perception defective	http://purl.obolibrary.org/obo/GO_0050909		http://purl.obolibrary.org/obo/PATO_0000001	
http://purl.obolibrary.org/obo/FBcv_0000683	temperature response defective	http://purl.obolibrary.org/obo/GO_0009266		http://purl.obolibrary.org/obo/PATO_0000001	
http://purl.obolibrary.org/obo/FBcv_0000002	thermotaxis behavior defective	http://purl.obolibrary.org/obo/GO_0043052		http://purl.obolibrary.org/obo/PATO_0000001	
http://purl.obolibrary.org/obo/FBcv_0000682	touch perception defective	http://purl.obolibrary.org/obo/GO_0050975		http://purl.obolibrary.org/obo/PATO_0000001	
http://purl.obolibrary.org/obo/FBcv_0000411	visual behavior defective	http://purl.obolibrary.org/obo/GO_0007632		http://purl.obolibrary.org/obo/PATO_0000001	
http://purl.obolibrary.org/obo/FBcv_0004000	visual perception defective	http://purl.obolibrary.org/obo/GO_0050953		http://purl.obolibrary.org/obo/PATO_0000001	
http://purl.obolibrary.org/obo/FBcv_0000418	flightless	http://purl.obolibrary.org/obo/GO_0060361		http://purl.obolibrary.org/obo/PATO_0000462	
http://purl.obolibrary.org/obo/FBcv_0000451	wound healing defective	http://purl.obolibrary.org/obo/GO_0042060		http://purl.obolibrary.org/obo/PATO_0000001	
